Category,Item,Attributes
Pasta,Arrabiata Sauce,"Vegetarian,Vegan,Wolf Approved"
Pasta,Cheese Tortellini,"Gluten Allergen,Dairy Allergen,Egg Allergen,Vegetarian"
Pasta,Classic Marinara,"Vegetarian,Vegan,Halal,Wolf Approved"
Pasta,Fettuccine Noodles,"Gluten Allergen,Egg Allergen,Vegetarian,Halal,Wolf Approved"
Pasta,Garlic Bread,"Gluten Allergen,Dairy Allergen,Soy Allergen,Vegetarian,Halal"
Pasta,Pasta Primavera,"Gluten Allergen,Dairy Allergen,Vegetarian"
Deli,Avocado Toast Station,"Gluten Allergen,Dairy Allergen,Egg Allergen,Seafood Allergen,Soy Allergen,Pork Allergen"
Display,Baked Apples,"Soy Allergen,Vegetarian,Vegan,Halal"
Display,Brown Sugar,"Vegetarian,Vegan,Halal"
Display,Quaker Oatmeal,"Gluten Allergen,Vegetarian,Vegan,Halal,Wolf Approved"
Display,Raisins,"Vegetarian,Vegan,Halal"
Simply Made,Baked Sweet Potato,"Vegetarian,Vegan,Halal,Wolf Approved"
Simply Made,Cumin Black Beans,"Vegetarian,Vegan,Halal,Wolf Approved"
Simply Made,Mustard Greens,"Vegetarian,Vegan,Wolf Approved"
Simply Made,Roasted Acorn Squash,"Vegetarian,Vegan,Halal,Wolf Approved"
Simply Made,Roasted Garlic & Herb Beef Top Round,
Grill Stations,Black Bean Patty,"Soy Allergen,Vegetarian,Vegan,Wolf Approved"
Grill Stations,Cheeseburger Patty,"Dairy Allergen,Soy Allergen"
Grill Stations,Crinkle Cut Fries,"Vegetarian,Vegan"
Grill Stations,Hamburger Bun,"Gluten Allergen,Soy Allergen,Sesame Allergen,Vegetarian"
Grill Stations,Hamburger Patty,
Grill Stations,Hot Dog,
Grill Stations,Hot Dog Bun,"Gluten Allergen,Soy Allergen,Sesame Allergen,Vegetarian"
Mediterranean,Chips & Salsa Station,Dairy Allergen
Mediterranean,Chips and Dip,"Dairy Allergen,Soy Allergen"
Mediterranean,Sour Cream,"Dairy Allergen,Vegetarian,Halal"
Pizza,Gluten Friendly Cheese Pizza,Dairy Allergen
Pizza,Spiced Sausage Pizza,"Gluten Allergen,Dairy Allergen,Soy Allergen,Pork Allergen"
Pizza,Traditional Cheese Pizza,"Gluten Allergen,Dairy Allergen,Soy Allergen"
Saute Station,Omelets Made to Order,"Dairy Allergen,Egg Allergen,Soy Allergen,Pork Allergen"
Entree,Buttermilk Biscuit,"Gluten Allergen,Dairy Allergen,Vegetarian,Halal"
Entree,Freshly Scrambled Eggs,"Egg Allergen,Vegetarian,Halal,Wolf Approved"
Entree,Hard Boiled Eggs,"Egg Allergen,Vegetarian,Halal,Wolf Approved"
Entree,Herb Roasted Mushrooms,"Vegetarian,Vegan,Halal,Wolf Approved"
Entree,Homestyle Grits,"Soy Allergen,Vegetarian,Vegan,Halal"
Entree,Sausage Gravy,"Gluten Allergen,Dairy Allergen,Soy Allergen,Pork Allergen"
Entree,Sausage Patty,Pork Allergen
Entree,Southwestern Chicken Tornadoes,"Gluten Allergen,Dairy Allergen,Soy Allergen"
Entree,State Fair Funnel Fries,"Gluten Allergen,Dairy Allergen,Egg Allergen,Soy Allergen,Vegetarian,Halal"
Entree,Tater Tots,"Vegetarian,Vegan,Halal"
Soup,Soup Du Jour,
Salad,Fresh Cantaloupe,"Vegetarian,Vegan,Halal,Wolf Approved"
Salad,Fresh Honeydew,"Vegetarian,Vegan,Halal,Wolf Approved"
Salad,Fresh Strawberries,"Vegetarian,Vegan,Wolf Approved"
Salad,Granola,"Gluten Allergen,Vegetarian,Wolf Approved"
Salad,Grapes,"Vegetarian,Vegan,Halal,Wolf Approved"
Salad,Strawberry Yogurt,"Dairy Allergen,Vegetarian,Wolf Approved"
Salad,Vanilla Yogurt,"Dairy Allergen,Vegetarian,Wolf Approved"
